task,plant,model,seed,delay_s,tau_s,scale,maximum_position_m,maximum_goal_overshoot_m,final_position_m,final_goal_error_m,goal_reached,goal_reached_time_s,settling_time_s,minimum_wall_clearance_m,safety_margin_m,collision,safety_violation,peak_actual_speed_mps,mean_abs_raw_to_smoothed_mps,mean_abs_smoothed_to_actual_mps,mean_abs_first_cycle_prediction_error_m,p95_abs_first_cycle_prediction_error_m,raw_command_total_variation_mps,mean_compute_ms,p95_compute_ms,mean_rank_spearman,mean_top_1pct_overlap
wall_stop,smoother_only,ideal,13,0.0,0.0,1.0,0.5366196597820236,0.0,0.5366196597820236,0.31338034021797634,1,1.85,nan,0.46338034021797636,0.3633803402179764,0,0,0.30295454872504274,0.030016267134201347,0.0,0.001500813356710068,0.00898314578135424,0.9376496924680295,14.924446919542026,15.975652202178026,0.6433434857034246,0.23817567567567569
wall_stop,smoother_only,ideal,14,0.0,0.0,1.0,0.5399952335627658,0.0,0.5399952335627658,0.3100047664372342,1,1.85,nan,0.4600047664372342,0.3600047664372342,0,0,0.30809580073569115,0.030070396100041148,0.0,0.0015035198050020575,0.009037243932029492,0.9847944610009665,14.892312648609387,15.57504440061166,0.6393382165644065,0.23614864864864868
wall_stop,smoother_only,ideal,15,0.0,0.0,1.0,0.5370851682897712,0.0,0.5370851682897712,0.3129148317102288,1,1.85,nan,0.46291483171022874,0.36291483171022876,0,0,0.30255077551370313,0.0298231462154674,0.0,0.001491157310773369,0.008752583582280652,0.9264256237576762,15.547581081321098,17.12322539970046,0.6415155550477516,0.22432432432432434
wall_stop,smoother_only,ideal,16,0.0,0.0,1.0,0.5375251852573835,0.0,0.5375251852573835,0.3124748147426165,1,1.85,nan,0.46247481474261654,0.36247481474261656,0,0,0.3,0.030013311941173938,0.0,0.0015006655970586959,0.008893819816218899,0.8803794132468701,15.491277756695666,16.571476397803053,0.6412424710852921,0.24493243243243243
wall_stop,smoother_only,ideal,17,0.0,0.0,1.0,0.5373418525408866,0.0,0.5373418525408866,0.31265814745911336,1,1.85,nan,0.4626581474591134,0.3626581474591134,0,0,0.30141908997773686,0.03011624400580221,0.0,0.0015058122002901111,0.008984426933336297,0.9523912199352291,15.58759370242557,16.379898200102616,0.6381400781140977,0.24493243243243243
wall_stop,smoother_only,ideal,18,0.0,0.0,1.0,0.5363265380958462,0.0,0.5363265380958462,0.3136734619041538,1,1.85,nan,0.4636734619041538,0.36367346190415384,0,0,0.3070775522164491,0.029898372639525113,0.0,0.001494918631976256,0.008842534067545264,0.9595316271662323,14.953955594604407,15.871771400270518,0.6408729607342905,0.24628378378378377
wall_stop,smoother_only,ideal,19,0.0,0.0,1.0,0.5380177329473369,0.0,0.5380177329473369,0.3119822670526631,1,1.85,nan,0.461982267052663,0.361982267052663,0,0,0.3025266438414997,0.029978099273917213,0.0,0.0014989049636958606,0.008854979688841583,0.9024784105113449,16.545186756293578,21.684743199875808,0.6409132217649026,0.2391891891891892
wall_stop,smoother_only,smoother,0,0.0,0.0,1.0,0.5297205374070498,0.0,0.5297205374070498,0.32027946259295015,1,1.9500000000000002,nan,0.4702794625929503,0.3702794625929503,0,0,0.3,0.02796770159174639,0.0,0.0,0.0,0.8865214024821122,9.772792435960115,12.38137270192965,nan,nan
wall_stop,smoother_only,smoother,1,0.0,0.0,1.0,0.5399374354824328,0.0,0.5399374354824328,0.3100625645175672,1,2.0,nan,0.4600625645175671,0.36006256451756713,0,0,0.3,0.02773068572631352,0.0,0.0,0.0,0.9072406844064905,8.621350525027083,8.874747699519503,nan,nan
wall_stop,smoother_only,smoother,2,0.0,0.0,1.0,0.540374364765393,0.0,0.540374364765393,0.30962563523460696,1,2.0,nan,0.4596256352346071,0.3596256352346071,0,0,0.3,0.02787383821338207,0.0,0.0,0.0,0.9130752711531449,8.480486724874936,9.302832097273493,nan,nan
