controller,time_s,position_m,velocity_mps,command_mps,compute_ms,effective_samples
baseline,3.250000000,0.770485939,-0.170592699,-0.096740128,1.158174000,7078.882923154
baseline,3.300000000,0.762077549,-0.165742887,-0.079762233,0.884970999,7101.087908292
baseline,3.350000000,0.753971814,-0.158486510,-0.054426125,1.061796000,7158.785301435
baseline,3.400000000,0.746254456,-0.150207811,-0.037733697,0.938731999,7192.085005615
baseline,3.450000000,0.738995877,-0.140135344,-0.024319303,1.160280000,7228.172365788
baseline,3.500000000,0.732258326,-0.129366717,-0.018015248,0.901359999,7222.962946709
baseline,3.550000000,0.726066161,-0.118319859,-0.008730050,0.926567998,7271.823385262
baseline,3.600000000,0.720413871,-0.107771757,0.012721017,1.044719000,7262.715789634
baseline,3.650000000,0.715285665,-0.097356464,0.016400826,0.929220998,7291.929232825
baseline,3.700000000,0.710707238,-0.085780641,0.033176345,1.047288002,7263.584013647
baseline,3.750000000,0.706686843,-0.075035168,0.049144817,0.892210999,7290.719093189
baseline,3.800000000,0.703219574,-0.063655571,0.048673141,0.898771003,7293.883788681
baseline,3.850000000,0.700333350,-0.051793405,0.063206676,0.896597001,7281.617226986
baseline,3.900000000,0.698007808,-0.041228275,0.072676207,1.034666999,7295.453042636
baseline,3.950000000,0.696220955,-0.030245824,0.075420053,0.884888002,7319.294863874
baseline,4.000000000,0.694979248,-0.019422473,0.085270362,1.160101001,7322.299103374
baseline,4.050000000,0.694257467,-0.009448768,0.079191295,0.875222002,7308.166061935
baseline,4.100000000,0.694034047,0.000511960,0.078917326,1.045668003,7325.094454136
baseline,4.150000000,0.694266494,0.008785933,0.094782890,0.899478000,7273.125004812
baseline,4.200000000,0.694890167,0.016160998,0.096729067,1.153930003,7302.786391875
baseline,4.250000000,0.695904915,0.024428930,0.092690493,0.896130998,7248.370007953
baseline,4.300000000,0.697316440,0.032032062,0.098746541,0.911137999,7200.621188604
baseline,4.350000000,0.699077515,0.038410944,0.091346280,1.029439001,7225.754570945
baseline,4.400000000,0.701156686,0.044755877,0.096901131,0.921965002,7209.130156388
baseline,4.450000000,0.703516967,0.049655355,0.092968907,1.032893000,7168.101900638
baseline,4.500000000,0.706123944,0.054623753,0.085561116,0.896720001,7167.468574443
baseline,4.550000000,0.708955942,0.058656156,0.079964392,0.899974002,7142.420121081
baseline,4.600000000,0.711959484,0.061485500,0.080456272,0.907041998,7082.284514458
baseline,4.650000000,0.715082340,0.063428753,0.069900362,1.046474001,7047.501862546
baseline,4.700000000,0.718298543,0.065219378,0.073479085,0.889921001,7013.041449934
baseline,4.750000000,0.721571818,0.065711634,0.058952971,1.104348001,7055.342621631
baseline,4.800000000,0.724877821,0.066528464,0.060062749,0.906935999,6990.029801218
baseline,4.850000000,0.728184328,0.065731820,0.053902461,0.885831003,6956.764953455
baseline,4.900000000,0.731456015,0.065135657,0.048620365,0.895875000,6978.275477145
baseline,4.950000000,0.734683266,0.063954366,0.043294055,0.895260000,6931.574938963
baseline,5.000000000,0.737840670,0.062341832,0.030768987,0.888297996,6967.976268132
baseline,5.050000000,0.740907685,0.060338755,0.031046460,0.917378999,6942.774805344
baseline,5.100000000,0.743846883,0.057229178,0.010924990,1.045069002,6946.353893145
baseline,5.150000000,0.746639508,0.054475785,0.008606179,0.890531999,6952.297753303
baseline,5.200000000,0.749248801,0.049895954,0.010009661,0.901628999,6927.363187454
baseline,5.250000000,0.751635047,0.045553893,0.001009097,0.890443000,6874.534263682
baseline,5.300000000,0.753819295,0.041816037,-0.008576144,0.914661003,6935.651448974
baseline,5.350000000,0.755802815,0.037524752,-0.006672842,1.055241999,6809.058967989
baseline,5.400000000,0.757557853,0.032676750,-0.017722419,0.901231000,6859.206465850
baseline,5.450000000,0.759088240,0.028538720,-0.019301357,0.887139999,6806.522646950
baseline,5.500000000,0.760393554,0.023673867,-0.017016397,1.119122000,6870.933617256
baseline,5.550000000,0.761464265,0.019154563,-0.029185719,0.893403998,6905.165899369
baseline,5.600000000,0.762326899,0.015350800,-0.036763202,1.114559000,6946.787491807
baseline,5.650000000,0.762977352,0.010667310,-0.033066385,0.909999999,6905.332009823
baseline,5.700000000,0.763386022,0.005679485,-0.031643084,0.894884000,6880.786214128
baseline,5.750000000,0.763568132,0.001604942,-0.038037869,0.893999000,6914.262008024
baseline,5.800000000,0.763560970,-0.001891443,-0.042449087,0.895306999,6835.891710387
baseline,5.850000000,0.763371368,-0.005692626,-0.035960943,0.897162998,6875.929321138
baseline,5.900000000,0.762990103,-0.009557960,-0.031645743,0.895640002,6878.003178495
baseline,5.950000000,0.762442792,-0.012334516,-0.032734020,0.892030002,6894.394465251
baseline,6.000000000,0.761775296,-0.014365298,-0.031231482,0.890792002,6987.409050985
baseline,6.050000000,0.761008740,-0.016296965,-0.042108247,0.888510000,6986.461498006
baseline,6.100000000,0.760154628,-0.017867489,-0.040815727,0.880175001,7092.981474769
baseline,6.150000000,0.759197524,-0.020416664,-0.045280104,0.885379999,7026.755602588
baseline,6.200000000,0.758123062,-0.022561843,-0.026156199,0.888284001,7022.884715837
baseline,6.250000000,0.756935243,-0.024950911,-0.026678418,0.885923000,7037.880177170
baseline,6.300000000,0.755684529,-0.025077660,-0.028636607,0.887052000,7081.126398398
baseline,6.350000000,0.754426437,-0.025245997,-0.027209900,0.876193000,7057.422293298
baseline,6.400000000,0.753155223,-0.025602556,-0.018560859,0.883429999,7060.572386353
baseline,6.450000000,0.751870870,-0.025771585,-0.025508751,0.890870000,7103.083193247
baseline,6.500000000,0.750601248,-0.025013300,-0.023181244,0.909220002,7038.754623522
baseline,6.550000000,0.749349280,-0.025065402,-0.015604327,1.100692003,7072.837751145
baseline,6.600000000,0.748100964,-0.024867263,-0.016146358,0.919942002,7081.940482474
baseline,6.650000000,0.746881953,-0.023893166,-0.012994997,1.061753999,7054.323435232
baseline,6.700000000,0.745707661,-0.023078507,-0.007942863,0.899700000,7055.834169349
baseline,6.750000000,0.744580245,-0.022018118,-0.010041665,0.883987999,7101.281839503
baseline,6.800000000,0.743516344,-0.020537955,-0.002964359,0.911015999,7070.439910810
baseline,6.850000000,0.742517041,-0.019434158,-0.004869658,1.077851000,7066.080844720
baseline,6.900000000,0.741588632,-0.017702182,0.000709940,0.886099999,7048.417680506
baseline,6.950000000,0.740737260,-0.016352705,0.008706006,1.014895002,7077.941965760
aware,0.000000000,0.000000000,0.000000000,0.476398995,0.999422999,6102.546503555
aware,0.050000000,0.000000000,0.000000000,0.484614900,0.982833000,6210.021265968
aware,0.100000000,0.001252461,0.050098444,0.484564555,0.993105001,6180.354862819
aware,0.150000000,0.004899734,0.095792491,0.475169209,1.001787001,6129.948933340
aware,0.200000000,0.010711447,0.136676027,0.462627226,0.982499001,6140.195646739
aware,0.250000000,0.018435153,0.172272201,0.458715875,0.986667001,6087.322701473
aware,0.300000000,0.027812112,0.202806134,0.447611638,0.978770000,6107.654407575
aware,0.350000000,0.038625209,0.229717777,0.436391339,0.979835000,6166.964392313
aware,0.400000000,0.050683945,0.252631644,0.428136736,0.986627001,6140.980699122
aware,0.450000000,0.063798634,0.271955939,0.415318540,0.991793000,6220.974613579
aware,0.500000000,0.077807033,0.288380019,0.406728232,1.038816001,6243.351883468
aware,0.550000000,0.092559758,0.301728960,0.396333664,0.990684002,6270.953645138
aware,0.600000000,0.107922251,0.312770755,0.390315145,0.979263001,6335.563020469
